643142	-2.2401635	53.4775092
643143	-2.2409794	53.4779903	
674004	-2.2495485	53.4783077	
674005	-2.2447284	53.4776967	
3356274	-2.2471060	53.4806160	
3356276	-2.2422624	53.4786389	
3356277	-2.2445150	53.4798787	
3364693	-2.2415481	53.4791519	
3364701	-2.2397154	53.4803759	
3365245	-2.2395345	53.4769381	
3450656	-2.2446092	53.4817048	
3450657	-2.2448165	53.4810914	
4020222	-2.2830010	53.4653392	
4020223	-2.2822036	53.4650925	
4020224	-2.2811125	53.4650622	
4020225	-2.2800858	53.4652163	
4020226	-2.2792409	53.4655837	
4020227	-2.2779014	53.4663227	
4020229	-2.2739511	53.4691368	
4020230	-2.2730608	53.4697092	
4020232	-2.2722183	53.4701987	
4020233	-2.2696041	53.4714249	
4020234	-2.2669803	53.4723784	
4020235	-2.2662739	53.4725593	
4020236	-2.2651750	53.4729599	
4020237	-2.2647151	53.4732766	
4020239	-2.2643493	53.4736316	
4020240	-2.2637790	53.4753702	
4020242	-2.2631626	53.4766062	
4020243	-2.2627177	53.4769393	
4020244	-2.2620737	53.4772286	
4020245	-2.2607414	53.4777577	
4020247	-2.2585774	53.4790478	
4020248	-2.2561662	53.4805976	
4020249	-2.2558828	53.4807443	
4020250	-2.2546811	53.4813200	
4020251	-2.2526533	53.4820886	
4020252	-2.2511805	53.4825233	
4020253	-2.2484833	53.4836460	
4020255	-2.2457418	53.4853233	
4020256	-2.2456219	53.4855831	
4045849	-2.2333438	53.4789506	
4045850	-2.2342688	53.4785409	
4045851	-2.2376355	53.4764241	
4045853	-2.2357857	53.4775837	
4830020	-2.2366075	53.4818476	
4830021	-2.2359492	53.4816635	
4830023	-2.2345988	53.4819716	
4830024	-2.2353106	53.4814775	
4830025	-2.2346428	53.4812902	
4830026	-2.2340642	53.4817060	
4830027	-2.2335188	53.4814434	
4830031	-2.2359063	53.4801808	
4830035	-2.2343132	53.4828386	
4830036	-2.2337445	53.4825990	
4830038	-2.2332143	53.4843104	
4830039	-2.2321305	53.4837533	
4830041	-2.2310439	53.4832159	
4830778	-2.2321704	53.4843693	
4830781	-2.2292869	53.4828985	
4830782	-2.2299541	53.4826520	
4830789	-2.2326613	53.4789993	
4830791	-2.2381746	53.4787610	
4830792	-2.2376188	53.4791639	
4830794	-2.2358110	53.4812014	
4831093	-2.2406367	53.4778068	
4831095	-2.2402552	53.4784885	
4831097	-2.2423398	53.4775359	
4831098	-2.2418994	53.4773087	
4831101	-2.2427519	53.4777472	
4831108	-2.2431244	53.4779373	
4831110	-2.2444067	53.4776258	
4831112	-2.2422864	53.4795129	
4831113	-2.2419976	53.4793714	
4831114	-2.2392995	53.4780116	
4831116	-2.2413982	53.4782016	
4831117	-2.2417999	53.4784013	
4831677	-2.2411275	53.4799248	
4831678	-2.2414749	53.4797058	
4831679	-2.2420864	53.4797697	
4831684	-2.2394331	53.4790656	
4831685	-2.2390961	53.4788898	
4831687	-2.2381384	53.4795882	
4831689	-2.2392744	53.4801676	
4831694	-2.2368664	53.4796852	
4831702	-2.2362460	53.4789792	
4831706	-2.2362984	53.4777220	
4831709	-2.2373299	53.4783021	
4831712	-2.2383477	53.4776869	
4831924	-2.2347769	53.4782389	
4832552	-2.2318591	53.4819742	
4832554	-2.2312753	53.4815646	
4832557	-2.2309577	53.4812219	
4833073	-2.2372908	53.4844334	
4833074	-2.2365298	53.4839284	
4833832	-2.2480094	53.4781018	
4833833	-2.2481179	53.4778692	
4833839	-2.2455399	53.4777920	
4833840	-2.2454160	53.4781377	
4833842	-2.2490943	53.4791331	
4833848	-2.2486129	53.4781784	
4833849	-2.2484934	53.4785201	
4833853	-2.2464313	53.4771620	
4833864	-2.2461907	53.4778746	
4834186	-2.2452223	53.4788848	
4834188	-2.2435501	53.4787465	
4836285	-2.2397781	53.4777447	
4836287	-2.2391178	53.4772002	
4836291	-2.2382431	53.4765390	
4836292	-2.2379558	53.4763883	
4836294	-2.2395688	53.4781481	
4836295	-2.2404215	53.4776709	
4836300	-2.2393938	53.4795630	
4836301	-2.2386664	53.4792048	
4836302	-2.2384512	53.4797529	
4836304	-2.2389967	53.4793636	
4838577	-2.2316523	53.4793471	
4839347	-2.2338769	53.4777297	
4839349	-2.2347436	53.4781265	
4839350	-2.2342887	53.4783518	
4841305	-2.2375824	53.4822027	
4841438	-2.2362395	53.4837744	
4841772	-2.2342545	53.4840994	
4841775	-2.2327065	53.4833394	
4841782	-2.2338425	53.4843865	
4843442	-2.2338220	53.4832152	
4843765	-2.2387012	53.4848238	
4843766	-2.2385695	53.4839795	
4843839	-2.2396055	53.4820900	
4843841	-2.2407062	53.4807683	
4846148	-2.2349269	53.4782275	
4846150	-2.2360318	53.4775615	
4847355	-2.2343324	53.4815148	
4847356	-2.2337896	53.4812529	
4847827	-2.2351208	53.4835146	
4847897	-2.2335442	53.4845943	
4849191	-2.2426649	53.4788319	
17482764	-2.2485478	53.4799804	
17482765	-2.2455193	53.4796030	
17485611	-2.2472490	53.4800909	
27317002	-2.2927211	53.4698950	
27317003	-2.2949299	53.4699380	
27317004	-2.2960397	53.4702783	
27317012	-2.2895974	53.4691574	
27317013	-2.2892782	53.4691938	
27317015	-2.3024214	53.4727766	
27317016	-2.2956046	53.4692602	
27317017	-2.2932501	53.4683996	
27317018	-2.3029569	53.4718127	
27317019	-2.2885572	53.4679391	
27625932	-2.2428760	53.4799502	
27625935	-2.2433473	53.4802995	
27625937	-2.2437873	53.4804159	
27626089	-2.2419760	53.4803543	
29161578	-2.2879159	53.4674228	
29161579	-2.2876273	53.4670621	
29161580	-2.2864983	53.4667937	
29161581	-2.2859922	53.4667727	
29161585	-2.2893347	53.4669689	
29161586	-2.2858810	53.4658703	
29161587	-2.2849911	53.4655385	
29161588	-2.3055616	53.4727892	
29161598	-2.3036901	53.4731683	
29161599	-2.3032731	53.4731743	
29162465	-2.2845003	53.4658531	
29162466	-2.2845563	53.4657414	
29162467	-2.2837010	53.4654512	
29162468	-2.2835946	53.4655560	
29162469	-2.2843972	53.4653400	
29162470	-2.2837190	53.4650468	
29162471	-2.2833709	53.4649209	
29162472	-2.2830476	53.4648247	
29162473	-2.2825752	53.4646915	
29162474	-2.2821152	53.4646323	
29162475	-2.2814936	53.4646101	
29162476	-2.2810223	53.4646592	
29162477	-2.2805363	53.4647401	
29162478	-2.2800641	53.4648409	
29162479	-2.2796725	53.4649407	
29162480	-2.2793204	53.4650493	
29162481	-2.2789325	53.4652111	
29162584	-2.2784730	53.4654163	
29162585	-2.2779967	53.4656245	
29162586	-2.2772939	53.4661022	
29162598	-2.2750807	53.4675451	
29162599	-2.2750629	53.4675962	
29162600	-2.2747937	53.4677776	
29162601	-2.2746339	53.4678428	
29162605	-2.2739267	53.4683183	
29162606	-2.2739444	53.4683465	
29162607	-2.2737994	53.4684645	
29162608	-2.2736456	53.4685614	
29162609	-2.2734769	53.4686213	
29162612	-2.2724625	53.4693116	
29162613	-2.2724462	53.4693546	
29162614	-2.2704163	53.4703738	
29162615	-2.2779883	53.4663687	
29162616	-2.2736025	53.4693649	
29162617	-2.2733161	53.4694275	
29162618	-2.2732090	53.4696149	
29162722	-2.2639366	53.4747021	
29162723	-2.2691799	53.4709735	
29162724	-2.2667881	53.4720274	
29162725	-2.2658242	53.4723929	
29162726	-2.2652245	53.4725740	
29162727	-2.2645736	53.4728686	
29162729	-2.2641437	53.4732389	
29162731	-2.2637830	53.4736022	
29162734	-2.2633110	53.4748840	
29162831	-2.2631446	53.4753937	
29162833	-2.2629013	53.4759971	
29162834	-2.2625201	53.4765700	
29162835	-2.2620895	53.4768101	
29162837	-2.2613372	53.4770811	
29162838	-2.2609214	53.4773050	
29162840	-2.2606640	53.4773521	
29162841	-2.2600898	53.4775760	
29162844	-2.2584047	53.4786962	
29162845	-2.2577260	53.4791272	
29162846	-2.2575840	53.4792257	
29162847	-2.2571796	53.4795343	
29162848	-2.2563588	53.4801009	
29162849	-2.2558153	53.4803863	
29162850	-2.2553093	53.4806519	
29162851	-2.2546451	53.4809812	
29162852	-2.2539719	53.4812640	
29178456	-2.2535751	53.4814509	
29178458	-2.2532611	53.4815267	
29178459	-2.2524870	53.4818295	
29178460	-2.2518930	53.4820298	
29178461	-2.2512199	53.4822419	
29178463	-2.2504675	53.4824893	
29178464	-2.2500913	53.4826307	
29178465	-2.2496360	53.4827838	
29178466	-2.2492004	53.4829841	
29178467	-2.2486262	53.4832197	
29178468	-2.2481312	53.4834672	
29178472	-2.2463493	53.4844450	
29178473	-2.2468047	53.4841740	
29178475	-2.2457158	53.4848220	
29178476	-2.2460326	53.4846335	
29178477	-2.2450493	53.4857689	
29178479	-2.2455105	53.4849613	
29178480	-2.2449506	53.4861542	
29178481	-2.2452105	53.4854259	
29779331	-2.2425532	53.4808241	
30767192	-2.2382781	53.4817178	
30767282	-2.2440886	53.4843203	
30893898	-2.2384926	53.4831207	
30934958	-2.2359950	53.4809769	
30934959	-2.2367148	53.4804864	
30934960	-2.2375006	53.4809653	
30935184	-2.2424349	53.4800483	
30935186	-2.2411788	53.4809013	
30935192	-2.2426761	53.4804269	
30935195	-2.2417388	53.4810637	
30935196	-2.2420087	53.4807895	
30935231	-2.2431184	53.4804788	
30935604	-2.2426665	53.4793133	
30935607	-2.2438852	53.4802414	
30935760	-2.2465434	53.4782763	
30935761	-2.2466638	53.4779290	
30935762	-2.2468803	53.4773279	
30935767	-2.2453288	53.4784448	
30935788	-2.2452549	53.4787014	
31334502	-2.2461274	53.4818584	
31563132	-2.2365961	53.4801154	
31563134	-2.2372954	53.4804834	
31563141	-2.2394506	53.4821110	
31564818	-2.2459725	53.4818420	
32053157	-2.2366089	53.4791860	
32202240	-2.2373677	53.4782055	
32202241	-2.2354375	53.4794655	
32846192	-2.2423195	53.4847314	
32846193	-2.2413493	53.4845573	
32846194	-2.2405362	53.4843913	
32846195	-2.2397046	53.4844971	
32846196	-2.2388526	53.4846425	
32846197	-2.2387725	53.4841163	
32846198	-2.2396710	53.4822643	
32846199	-2.2405476	53.4824341	
32846200	-2.2409614	53.4825157	
32846201	-2.2435498	53.4830841	
32846202	-2.2427035	53.4839054	
32846205	-2.2392632	53.4821706	
32846206	-2.2393295	53.4822614	
32846207	-2.2391751	53.4826041	
32846208	-2.2375037	53.4823021	
32846209	-2.2382950	53.4819385	
32846210	-2.2384312	53.4819292	
32846263	-2.2368048	53.4798058	
32846264	-2.2386812	53.4808434	
32846265	-2.2384137	53.4807924	
32846266	-2.2367124	53.4799094	
32846268	-2.2324822	53.4786817	
32846269	-2.2320723	53.4783601	
32846270	-2.2319770	53.4780307	
32846271	-2.2318470	53.4778799	
39731926	-2.3053279	53.4733403	
39731927	-2.3048670	53.4731078	
39731928	-2.3047769	53.4731752	
39731930	-2.3048107	53.4733419	
39731931	-2.3040946	53.4730139	
39734714	-2.3040147	53.4733094	
39734716	-2.3042145	53.4731787	
39734859	-2.3049444	53.4732604	
63143349	-2.2442449	53.4822470	
63143875	-2.2430622	53.4820181	
64698818	-2.2415771	53.4801539	
64715324	-2.2398214	53.4787982	
64722029	-2.2439966	53.4809941	
64722030	-2.2437921	53.4816793	
64723430	-2.2445506	53.4817930	
64723973	-2.2433334	53.4815668	
64723974	-2.2422873	53.4813582	
247393971	-2.2628972	53.4768355	
247393972	-2.2625922	53.4770202	
247393975	-2.2623599	53.4771147	
247393976	-2.2622704	53.4771482	
247393977	-2.2622627	53.4767233	
247393978	-2.2626918	53.4763708	
247393979	-2.2628034	53.4762227	
247393980	-2.2630984	53.4766848	
247393981	-2.2629990	53.4767600	
247393991	-2.2712840	53.4706802	
247393994	-2.2645092	53.4734585	
247393995	-2.2640611	53.4742493	
247393997	-2.2719886	53.4702957	
247393998	-2.2714176	53.4705706	
247393999	-2.2713481	53.4706314	
247394000	-2.2711933	53.4706269	
247394001	-2.2732813	53.4694502	
247394019	-2.2380607	53.4814935	
247394029	-2.2389248	53.4819132	Market Street
247394052	-2.2382517	53.4818141	
247394068	-2.2318280	53.4773857	
247394071	-2.2325317	53.4780607	
247394072	-2.2327559	53.4781422	
247394073	-2.2336153	53.4783247	
247394074	-2.2338794	53.4784098	
247394095	-2.2357223	53.4799185	
247394096	-2.2362822	53.4799984	
247394098	-2.2364173	53.4800345	
247394122	-2.2392430	53.4806840	
247394124	-2.2388580	53.4809984	
247394125	-2.2386088	53.4810393	
247394179	-2.2384559	53.4810985	
247394180	-2.2384692	53.4811652	
247394191	-2.2377086	53.4815651	
247394192	-2.2376962	53.4814977	
247394193	-2.2377360	53.4814106	
247394194	-2.2380514	53.4810426	
247394195	-2.2379538	53.4808694	
247394196	-2.2378200	53.4807811	
249515467	-2.2473245	53.4835968	
249517666	-2.2477562	53.4808671	Katsouris Deli
258871622	-2.2448562	53.4801119	Armenian Taverna
277770100	-2.2372478	53.4834264	
277772259	-2.2374624	53.4837073	
277772262	-2.2379461	53.4830462	
277772433	-2.2367542	53.4825935	
277772812	-2.2372451	53.4823695	
277773002	-2.2373687	53.4823095	
277773377	-2.2377347	53.4823879	
277773382	-2.2376537	53.4835413	
277773383	-2.2373022	53.4833803	
277774004	-2.2337216	53.4813018	
277774005	-2.2333245	53.4813410	
277774064	-2.2340259	53.4810815	
277774514	-2.2326139	53.4805285	
277774515	-2.2314801	53.4808852	
281187890	-2.2481132	53.4770690	
281187892	-2.2478797	53.4771579	
281188048	-2.2477606	53.4773900	
